CATEGORY,TRANSACTION_MONTH,TRANSACTION_COUNT,TOTAL_SPEND,AVG_TRANSACTION_VALUE,PCT_OF_MONTHLY_SPEND
Travel,2024-01-01,1,350.00,350.00000000,35.17
Shopping,2024-01-01,2,320.00,160.00000000,32.16
Groceries,2024-01-01,3,242.90,80.96666667,24.41
Fuel,2024-01-01,1,45.00,45.00000000,4.52
Dining,2024-01-01,2,21.25,10.62500000,2.14
Utilities,2024-01-01,1,15.99,15.99000000,1.61
Travel,2024-02-01,1,420.00,420.00000000,54.22
Groceries,2024-02-01,2,188.60,94.30000000,24.35
Shopping,2024-02-01,1,95.00,95.00000000,12.26
Fuel,2024-02-01,1,55.00,55.00000000,7.10
Utilities,2024-02-01,1,15.99,15.99000000,2.06
